Company
DN Capital
Tribune Publishing
Maven Ventures Growth Labs
Altos Ventures
Seedcamp
Cowboy Ventures
MeshSquared Ventures
Union Square Ventures
"Bolstr, Inc."
"Nitro, Inc."
Blue Jeans Network
Stanford Public Policy Program
Netcapital
Tradesy
Correlation Ventures
SST Inc. / ShotSpotter
Aalto University
Sereneti Kitchen
Jelli
Evothings AB
Spark Capital
Let's Maybe
"Mesosphere, Inc."
"Hercules Technology Growth Capital, Inc."
The Alliance for Business Leadership
The Information
The Awesome Foundation
"University of California, Berkeley, Haas School of Business"
Jana
StartX
Abe's Market
Evothings
Rocketmiles
The Presidio Group
"WD, a Western Digital company"
"Veracyte, Inc."
SilentSoft SA
Native Union
StartX.
"Kidaptive, Inc."
all3D
Gusto (formerly ZenPayroll)
StartX.
Orange Fab
San Francisco Javascript meetup
Spark Capital LLC
Hillary for America
Disney Interactive
StartX Med
eLucid Technology (formerly S2E Energy)
FormationNow.com
eero
Turo
"EnergySage, Inc."
Surefield
"Gliph, Inc."
Netpulse
Livestation
Smitten Ice Cream
InsideMaps
Yeloha
StartX
Matrix Partners
Circle Medical
San Francisco Museum of Modern Art (SF MOMA)
"Mohr, Davidow"
Milestone Capital AG
Cendana Capital
The Silicon Valley Angels (SVA)
"Test Run, LLC"
Neem Captial
Granular
"Tribevine, Inc."
STARTX
Motus Ventures (formerly Transportation Technology Ventures)
Panna
Spartups
"VSee - HIPAA-compliant Video Telehealth, Telemedicine Platform"
ONK…L
28msec Inc.
Fairhaven Capital
LayPay
Defixo
PLANT PV
Socratic
ROC-Connect
Nurep
Insight Data Science
Directly
Zumigo Inc.
3 Princes Consulting
Marines' Memorial Club & Hotel
Duke Venture Community
StartX
"CodeX, The Stanford Center for Legal Informatics"
Grey Corp GmbH
"KONTOR, Inc."
Bromium
YMCA Camp Belknap
Doctor On Demand
